OrderID,OrderDate,CustomerID,CustomerName,City,Region,ProductID,ProductName,Category,UnitPrice,Quantity,Discount,Revenue
ORD00022,2025-03-05,CUST002,Apex Global,Los Angeles,West,PROD006,Noise-Cancelling Headphones,Accessories,200.0,2,0.0,400.0
ORD00023,2025-03-08,CUST003,Quantum Systems,Chicago,Midwest,PROD002,Pro Smartphone,Electronics,850.0,2,0.05,1615.0
ORD00024,2025-03-11,CUST004,Summit Enterprise,Houston,South,PROD007,Mechanical Keyboard,Accessories,120.0,4,0.0,480.0
ORD00025,2025-03-14,CUST005,Nova Industries,Phoenix,West,PROD008,4K UltraHD Monitor,Electronics,400.0,2,0.1,720.0
ORD00026,2025-03-16,CUST006,Vanguard Labs,Philadelphia,East,PROD009,Wireless Laser Printer,Office Supplies,250.0,1,0.0,250.0
ORD00027,2025-03-19,CUST007,Horizon Retail,San Antonio,South,PROD010,Smart Office Whiteboard,Office Supplies,180.0,2,0.0,360.0
ORD00028,2025-03-22,CUST008,Infinity Partners,San Diego,West,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.05,1140.0
ORD00029,2025-03-25,CUST009,Pinnacle Group,Dallas,South,PROD003,Ultra Tablet,Electronics,450.0,2,0.15,765.0
ORD00030,2025-03-28,CUST010,Centurion Ltd,San Jose,West,PROD004,Ergonomic Office Chair,Furniture,350.0,1,0.0,350.0
ORD00031,2025-04-01,CUST011,Starlight Co,Austin,South,PROD005,Standing Desk,Furniture,650.0,2,0.1,1170.0
ORD00032,2025-04-04,CUST012,BlueSky Ventures,Jacksonville,South,PROD006,Noise-Cancelling Headphones,Accessories,200.0,3,0.0,600.0
ORD00033,2025-04-07,CUST013,Redwood Logistics,San Francisco,West,PROD007,Mechanical Keyboard,Accessories,120.0,2,0.0,240.0
ORD00034,2025-04-10,CUST014,Ironclad Security,Indianapolis,Midwest,PROD008,4K UltraHD Monitor,Electronics,400.0,1,0.05,380.0
ORD00035,2025-04-12,CUST015,AeroTech Dynamics,Columbus,Midwest,PROD009,Wireless Laser Printer,Office Supplies,250.0,3,0.1,675.0
ORD00036,2025-04-15,CUST016,Velocity Commerce,Fort Worth,South,PROD010,Smart Office Whiteboard,Office Supplies,180.0,1,0.0,180.0
ORD00037,2025-04-18,CUST017,NextGen Media,Charlotte,East,PROD001,Enterprise Laptop,Electronics,1200.0,2,0.15,2040.0
ORD00038,2025-04-20,CUST018,Silverline Group,Seattle,West,PROD002,Pro Smartphone,Electronics,850.0,1,0.0,850.0
ORD00039,2025-04-23,CUST019,Beacon Services,Denver,West,PROD003,Ultra Tablet,Electronics,450.0,3,0.1,1215.0
ORD00040,2025-04-26,CUST020,Zephyr Tech,El Paso,South,PROD004,Ergonomic Office Chair,Furniture,350.0,2,0.0,700.0
ORD00041,2025-05-02,CUST001,TechCorp Solutions,New York,East,PROD002,Pro Smartphone,Electronics,850.0,2,0.05,1615.0
ORD00042,2025-05-05,CUST002,Apex Global,Los Angeles,West,PROD005,Standing Desk,Furniture,650.0,1,0.0,650.0
ORD00043,2025-05-08,CUST003,Quantum Systems,Chicago,Midwest,PROD006,Noise-Cancelling Headphones,Accessories,200.0,5,0.15,850.0
ORD00044,2025-05-11,CUST004,Summit Enterprise,Houston,South,PROD008,4K UltraHD Monitor,Electronics,400.0,2,0.0,800.0
ORD00045,2025-05-14,CUST005,Nova Industries,Phoenix,West,PROD009,Wireless Laser Printer,Office Supplies,250.0,2,0.1,450.0
ORD00046,2025-05-17,CUST006,Vanguard Labs,Philadelphia,East,PROD010,Smart Office Whiteboard,Office Supplies,180.0,4,0.05,684.0
ORD00047,2025-05-20,CUST007,Horizon Retail,San Antonio,South,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.2,960.0
ORD00048,2025-05-23,CUST008,Infinity Partners,San Diego,West,PROD002,Pro Smartphone,Electronics,850.0,2,0.0,1700.0
ORD00049,2025-05-26,CUST009,Pinnacle Group,Dallas,South,PROD004,Ergonomic Office Chair,Furniture,350.0,3,0.1,945.0
ORD00050,2025-05-29,CUST010,Centurion Ltd,San Jose,West,PROD006,Noise-Cancelling Headphones,Accessories,200.0,2,0.0,400.0
ORD00051,2025-06-01,CUST011,Starlight Co,Austin,South,PROD003,Ultra Tablet,Electronics,450.0,4,0.1,1620.0
ORD00052,2025-06-04,CUST012,BlueSky Ventures,Jacksonville,South,PROD007,Mechanical Keyboard,Accessories,120.0,2,0.0,240.0
ORD00053,2025-06-07,CUST013,Redwood Logistics,San Francisco,West,PROD008,4K UltraHD Monitor,Electronics,400.0,1,0.0,400.0
ORD00054,2025-06-10,CUST014,Ironclad Security,Indianapolis,Midwest,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.05,1140.0
ORD00055,2025-06-12,CUST015,AeroTech Dynamics,Columbus,Midwest,PROD002,Pro Smartphone,Electronics,850.0,3,0.15,2167.5
ORD00056,2025-06-15,CUST016,Velocity Commerce,Fort Worth,South,PROD005,Standing Desk,Furniture,650.0,2,0.0,1300.0
ORD00057,2025-06-18,CUST017,NextGen Media,Charlotte,East,PROD006,Noise-Cancelling Headphones,Accessories,200.0,3,0.1,540.0
ORD00058,2025-06-21,CUST018,Silverline Group,Seattle,West,PROD007,Mechanical Keyboard,Accessories,120.0,5,0.05,570.0
ORD00059,2025-06-24,CUST019,Beacon Services,Denver,West,PROD009,Wireless Laser Printer,Office Supplies,250.0,2,0.1,450.0
ORD00060,2025-06-27,CUST020,Zephyr Tech,El Paso,South,PROD010,Smart Office Whiteboard,Office Supplies,180.0,1,0.0,180.0
ORD00061,2025-07-02,CUST001,TechCorp Solutions,New York,East,PROD006,Noise-Cancelling Headphones,Accessories,200.0,2,0.1,360.0
ORD00062,2025-07-05,CUST002,Apex Global,Los Angeles,West,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.0,1200.0
ORD00063,2025-07-08,CUST003,Quantum Systems,Chicago,Midwest,PROD009,Wireless Laser Printer,Office Supplies,250.0,2,0.05,475.0
ORD00064,2025-07-11,CUST004,Summit Enterprise,Houston,South,PROD003,Ultra Tablet,Electronics,450.0,3,0.0,1350.0
ORD00065,2025-07-14,CUST005,Nova Industries,Phoenix,West,PROD004,Ergonomic Office Chair,Furniture,350.0,1,0.15,297.5
ORD00066,2025-07-16,CUST006,Vanguard Labs,Philadelphia,East,PROD002,Pro Smartphone,Electronics,850.0,2,0.1,1530.0
ORD00067,2025-07-19,CUST007,Horizon Retail,San Antonio,South,PROD005,Standing Desk,Furniture,650.0,1,0.0,650.0
ORD00068,2025-07-22,CUST008,Infinity Partners,San Diego,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,3,0.05,513.0
ORD00069,2025-07-25,CUST009,Pinnacle Group,Dallas,South,PROD008,4K UltraHD Monitor,Electronics,400.0,2,0.1,720.0
ORD00070,2025-07-28,CUST010,Centurion Ltd,San Jose,West,PROD007,Mechanical Keyboard,Accessories,120.0,4,0.0,480.0
ORD00071,2025-08-01,CUST011,Starlight Co,Austin,South,PROD002,Pro Smartphone,Electronics,850.0,1,0.15,722.5
ORD00072,2025-08-04,CUST012,BlueSky Ventures,Jacksonville,South,PROD004,Ergonomic Office Chair,Furniture,350.0,2,0.0,700.0
ORD00073,2025-08-07,CUST013,Redwood Logistics,San Francisco,West,PROD005,Standing Desk,Furniture,650.0,2,0.0,1300.0
ORD00074,2025-08-10,CUST014,Ironclad Security,Indianapolis,Midwest,PROD006,Noise-Cancelling Headphones,Accessories,200.0,3,0.05,570.0
ORD00075,2025-08-12,CUST015,AeroTech Dynamics,Columbus,Midwest,PROD007,Mechanical Keyboard,Accessories,120.0,4,0.1,432.0
ORD00076,2025-08-15,CUST016,Velocity Commerce,Fort Worth,South,PROD008,4K UltraHD Monitor,Electronics,400.0,1,0.0,400.0
ORD00077,2025-08-18,CUST017,NextGen Media,Charlotte,East,PROD009,Wireless Laser Printer,Office Supplies,250.0,2,0.15,425.0
ORD00078,2025-08-21,CUST018,Silverline Group,Seattle,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,2,0.0,360.0
ORD00079,2025-08-24,CUST019,Beacon Services,Denver,West,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.1,1080.0
ORD00080,2025-08-27,CUST020,Zephyr Tech,El Paso,South,PROD003,Ultra Tablet,Electronics,450.0,2,0.0,900.0
ORD00081,2025-09-02,CUST001,TechCorp Solutions,New York,East,PROD004,Ergonomic Office Chair,Furniture,350.0,2,0.05,665.0
ORD00082,2025-09-05,CUST002,Apex Global,Los Angeles,West,PROD002,Pro Smartphone,Electronics,850.0,1,0.0,850.0
ORD00083,2025-09-08,CUST003,Quantum Systems,Chicago,Midwest,PROD005,Standing Desk,Furniture,650.0,1,0.1,585.0
ORD00084,2025-09-11,CUST004,Summit Enterprise,Houston,South,PROD006,Noise-Cancelling Headphones,Accessories,200.0,4,0.0,800.0
ORD00085,2025-09-14,CUST005,Nova Industries,Phoenix,West,PROD007,Mechanical Keyboard,Accessories,120.0,3,0.15,306.0
ORD00086,2025-09-16,CUST006,Vanguard Labs,Philadelphia,East,PROD008,4K UltraHD Monitor,Electronics,400.0,2,0.0,800.0
ORD00087,2025-09-19,CUST007,Horizon Retail,San Antonio,South,PROD009,Wireless Laser Printer,Office Supplies,250.0,1,0.05,237.5
ORD00088,2025-09-22,CUST008,Infinity Partners,San Diego,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,3,0.1,486.0
ORD00089,2025-09-25,CUST009,Pinnacle Group,Dallas,South,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.2,960.0
ORD00090,2025-09-28,CUST010,Centurion Ltd,San Jose,West,PROD003,Ultra Tablet,Electronics,450.0,2,0.0,900.0
ORD00091,2025-10-02,CUST011,Starlight Co,Austin,South,PROD008,4K UltraHD Monitor,Electronics,400.0,3,0.15,1020.0
ORD00092,2025-10-05,CUST012,BlueSky Ventures,Jacksonville,South,PROD009,Wireless Laser Printer,Office Supplies,250.0,1,0.0,250.0
ORD00093,2025-10-08,CUST013,Redwood Logistics,San Francisco,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,2,0.1,324.0
ORD00094,2025-10-11,CUST014,Ironclad Security,Indianapolis,Midwest,PROD002,Pro Smartphone,Electronics,850.0,2,0.0,1700.0
ORD00095,2025-10-14,CUST015,AeroTech Dynamics,Columbus,Midwest,PROD003,Ultra Tablet,Electronics,450.0,1,0.05,427.5
ORD00096,2025-10-17,CUST016,Velocity Commerce,Fort Worth,South,PROD004,Ergonomic Office Chair,Furniture,350.0,3,0.1,945.0
ORD00097,2025-10-20,CUST017,NextGen Media,Charlotte,East,PROD005,Standing Desk,Furniture,650.0,2,0.0,1300.0
ORD00098,2025-10-23,CUST018,Silverline Group,Seattle,West,PROD006,Noise-Cancelling Headphones,Accessories,200.0,5,0.2,800.0
ORD00099,2025-10-26,CUST019,Beacon Services,Denver,West,PROD007,Mechanical Keyboard,Accessories,120.0,2,0.0,240.0
ORD00100,2025-10-29,CUST020,Zephyr Tech,El Paso,South,PROD008,4K UltraHD Monitor,Electronics,400.0,1,0.1,360.0
ORD00101,2025-11-02,CUST001,TechCorp Solutions,New York,East,PROD009,Wireless Laser Printer,Office Supplies,250.0,2,0.05,475.0
ORD00102,2025-11-05,CUST002,Apex Global,Los Angeles,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,1,0.0,180.0
ORD00103,2025-11-08,CUST003,Quantum Systems,Chicago,Midwest,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.1,1080.0
ORD00104,2025-11-11,CUST004,Summit Enterprise,Houston,South,PROD003,Ultra Tablet,Electronics,450.0,2,0.0,900.0
ORD00105,2025-11-14,CUST005,Nova Industries,Phoenix,West,PROD004,Ergonomic Office Chair,Furniture,350.0,2,0.15,595.0
ORD00106,2025-11-17,CUST006,Vanguard Labs,Philadelphia,East,PROD005,Standing Desk,Furniture,650.0,1,0.0,650.0
ORD00107,2025-11-20,CUST007,Horizon Retail,San Antonio,South,PROD006,Noise-Cancelling Headphones,Accessories,200.0,4,0.1,720.0
ORD00108,2025-11-23,CUST008,Infinity Partners,San Diego,West,PROD007,Mechanical Keyboard,Accessories,120.0,3,0.05,342.0
ORD00109,2025-11-26,CUST009,Pinnacle Group,Dallas,South,PROD002,Pro Smartphone,Electronics,850.0,2,0.15,1445.0
ORD00110,2025-11-29,CUST010,Centurion Ltd,San Jose,West,PROD008,4K UltraHD Monitor,Electronics,400.0,1,0.0,400.0
ORD00111,2025-12-02,CUST011,Starlight Co,Austin,South,PROD001,Enterprise Laptop,Electronics,1200.0,2,0.2,1920.0
ORD00112,2025-12-05,CUST012,BlueSky Ventures,Jacksonville,South,PROD002,Pro Smartphone,Electronics,850.0,1,0.0,850.0
ORD00113,2025-12-08,CUST013,Redwood Logistics,San Francisco,West,PROD003,Ultra Tablet,Electronics,450.0,3,0.1,1215.0
ORD00114,2025-12-11,CUST014,Ironclad Security,Indianapolis,Midwest,PROD004,Ergonomic Office Chair,Furniture,350.0,2,0.0,700.0
ORD00115,2025-12-14,CUST015,AeroTech Dynamics,Columbus,Midwest,PROD005,Standing Desk,Furniture,650.0,2,0.05,1235.0
ORD00116,2025-12-17,CUST016,Velocity Commerce,Fort Worth,South,PROD006,Noise-Cancelling Headphones,Accessories,200.0,3,0.1,540.0
ORD00117,2025-12-20,CUST017,NextGen Media,Charlotte,East,PROD007,Mechanical Keyboard,Accessories,120.0,4,0.0,480.0
ORD00118,2025-12-23,CUST018,Silverline Group,Seattle,West,PROD008,4K UltraHD Monitor,Electronics,400.0,2,0.15,680.0
ORD00119,2025-12-26,CUST019,Beacon Services,Denver,West,PROD009,Wireless Laser Printer,Office Supplies,250.0,1,0.0,250.0
ORD00120,2025-12-29,CUST020,Zephyr Tech,El Paso,South,PROD010,Smart Office Whiteboard,Office Supplies,180.0,2,0.1,324.0
