OrderID,OrderDate,CustomerID,CustomerName,City,Region,ProductID,ProductName,Category,UnitPrice,Quantity,Discount
ORD00068,07/22/2025,CUST008,,San Diego,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,3,0.05
ORD00069,2025-07-25,CUST009,Pinnacle Group,Dallas,South,PROD008,4K UltraHD Monitor,Electronics,400.0,2,0.1
ORD00070,2025-07-28,CUST010,Centurion Ltd,San Jose,West,PROD007,Mechanical Keyboard,Accessories,120.0,4,0.0
ORD00071,2025-08-01,CUST011,Starlight Co,Austin,South,PROD002,Pro Smartphone,Electronics,850.0,1,0.15
ORD00072,2025-08-04,CUST012,BlueSky Ventures,Jacksonville,South,PROD004,Ergonomic Office Chair,Furniture,350.0,2,0.0
ORD00073,2025-08-07,CUST013,Redwood Logistics,San Francisco,West,PROD005,Standing Desk,Furniture,650.0,2,
ORD00073,2025-08-07,CUST013,Redwood Logistics,San Francisco,West,PROD005,Standing Desk,Furniture,650.0,2,
ORD00074,2025-08-10,CUST014,Ironclad Security,Indianapolis,Midwest,PROD006,Noise-Cancelling Headphones,Accessories,200.0,3,0.05
ORD00075,2025-08-12,CUST015,AeroTech Dynamics,Columbus,Midwest,PROD007,Mechanical Keyboard,Accessories,120.0,4,0.1
ORD00076,2025-08-15,CUST016,Velocity Commerce,Fort Worth,South,PROD008,4K UltraHD Monitor,Electronics,400.0,1,0.0
ORD00077,08/18/2025,CUST017,,Charlotte,East,PROD009,Wireless Laser Printer,Office Supplies,250.0,2,0.15
ORD00078,2025-08-21,CUST018,Silverline Group,Seattle,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,2,0.0
ORD00079,2025-08-24,CUST019,Beacon Services,Denver,West,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.1
ORD00080,2025-08-27,CUST020,Zephyr Tech,El Paso,South,PROD003,Ultra Tablet,Electronics,450.0,2,0.0
ORD00081,2025-09-02,CUST001,TechCorp Solutions,New York,East,PROD004,Ergonomic Office Chair,Furniture,350.0,2,0.05
ORD00082,2025-09-05,CUST002,Apex Global,Los Angeles,West,PROD002,Pro Smartphone,Electronics,850.0,1,0.0
ORD00083,2025-09-08,CUST003,Quantum Systems,Chicago,Midwest,PROD005,Standing Desk,Furniture,650.0,1,0.1
ORD00084,2025-09-11,CUST004,Summit Enterprise,Houston,South,PROD006,Noise-Cancelling Headphones,Accessories,200.0,4,
ORD00085,2025-09-14,CUST005,Nova Industries,Phoenix,West,PROD007,Mechanical Keyboard,Accessories,120.0,3,0.15
ORD00086,2025-09-16,CUST006,Vanguard Labs,Philadelphia,East,PROD008,4K UltraHD Monitor,Electronics,400.0,2,0.0
ORD00087,09/19/2025,CUST007,,San Antonio,South,PROD009,Wireless Laser Printer,Office Supplies,250.0,1,0.05
ORD00088,2025-09-22,CUST008,Infinity Partners,San Diego,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,3,0.1
ORD00089,2025-09-25,CUST009,Pinnacle Group,Dallas,South,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.2
ORD00090,2025-09-28,CUST010,Centurion Ltd,San Jose,West,PROD003,Ultra Tablet,electronics,450.0,2,0.0
ORD00091,2025-10-02,CUST011,Starlight Co,Austin,South,PROD008,4K UltraHD Monitor,Electronics,400.0,3,0.15
ORD00092,2025-10-05,CUST012,BlueSky Ventures,Jacksonville,South,PROD009,Wireless Laser Printer,Office Supplies,250.0,1,0.0
ORD00093,2025-10-08,CUST013,Redwood Logistics,San Francisco,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,2,0.1
ORD00094,2025-10-11,CUST014,Ironclad Security,Indianapolis,Midwest,PROD002,Pro Smartphone,Electronics,850.0,2,
ORD00095,2025-10-14,CUST015,AeroTech Dynamics,Columbus,Midwest,PROD003,Ultra Tablet,Electronics,450.0,1,0.05
ORD00096,10/17/2025,CUST016,,Fort Worth,South,PROD004,Ergonomic Office Chair,Furniture,350.0,3,0.1
ORD00097,2025-10-20,CUST017,NextGen Media,Charlotte,East,PROD005,Standing Desk,Furniture,650.0,2,0.0
ORD00098,2025-10-23,CUST018,Silverline Group,Seattle,West,PROD006,Noise-Cancelling Headphones,Accessories,200.0,5,0.2
ORD00099,2025-10-26,CUST019,Beacon Services,Denver,West,PROD007,Mechanical Keyboard,Accessories,120.0,2,0.0
ORD00100,2025-10-29,CUST020,Zephyr Tech,El Paso,South,PROD008,4K UltraHD Monitor,Electronics,400.0,1,0.1
ORD00101,2025-11-02,CUST001,TechCorp Solutions,New York,East,PROD009,Wireless Laser Printer,Office Supplies,250.0,2,0.05
ORD00102,2025-11-05,CUST002,Apex Global,Los Angeles,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,1,0.0
ORD00103,2025-11-08,CUST003,Quantum Systems,Chicago,Midwest,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.1
ORD00104,2025-11-11,CUST004,Summit Enterprise,Houston,South,PROD003,Ultra Tablet,Electronics,450.0,2,
ORD00105,2025-11-14,CUST005,Nova Industries,Phoenix,West,PROD004,Ergonomic Office Chair,Furniture,350.0,2,0.15
ORD00106,11/17/2025,CUST006,,Philadelphia,East,PROD005,Standing Desk,Furniture,650.0,1,0.0
ORD00107,2025-11-20,CUST007,Horizon Retail,San Antonio,South,PROD006,Noise-Cancelling Headphones,Accessories,200.0,4,0.1
ORD00108,2025-11-23,CUST008,Infinity Partners,San Diego,West,PROD007,Mechanical Keyboard,Accessories,120.0,3,0.05
ORD00109,2025-11-26,CUST009,Pinnacle Group,Dallas,South,PROD002,Pro Smartphone,Electronics,850.0,2,0.15
ORD00110,2025-11-29,CUST010,Centurion Ltd,San Jose,West,PROD008,4K UltraHD Monitor,Electronics,400.0,1,0.0
ORD00111,2025-12-02,CUST011,Starlight Co,Austin,South,PROD001,Enterprise Laptop,Electronics,1200.0,2,0.2
ORD00112,2025-12-05,CUST012,BlueSky Ventures,Jacksonville,South,PROD002,Pro Smartphone,Electronics,850.0,1,0.0
ORD00113,2025-12-08,CUST013,Redwood Logistics,San Francisco,West,PROD003,Ultra Tablet,Electronics,450.0,3,0.1
ORD00114,2025-12-11,CUST014,Ironclad Security,Indianapolis,Midwest,PROD004,Ergonomic Office Chair,Furniture,350.0,2,
ORD00115,12/14/2025,CUST015,,Columbus,Midwest,PROD005,Standing Desk,Furniture,650.0,2,0.05
ORD00116,2025-12-17,CUST016,Velocity Commerce,Fort Worth,South,PROD006,Noise-Cancelling Headphones,Accessories,200.0,3,0.1
ORD00117,2025-12-20,CUST017,NextGen Media,Charlotte,East,PROD007,Mechanical Keyboard,Accessories,120.0,4,0.0
ORD00118,2025-12-23,CUST018,Silverline Group,Seattle,West,PROD008,4K UltraHD Monitor,Electronics,400.0,2,0.15
ORD00119,2025-12-26,CUST019,Beacon Services,Denver,West,PROD009,Wireless Laser Printer,Office Supplies,250.0,1,0.0
ORD00120,2025-12-29,CUST020,Zephyr Tech,El Paso,South,PROD010,Smart Office Whiteboard,Office Supplies,180.0,2,0.1
